STT,漢字,音（漢越）,読み方,意味
6616,質問されてとぼける,-,しつもんされてとぼける,thẫn thờ khi bị hỏi
6617,ひもがほどける,-,ひもがほどける,sợi dây bung ra
6618,記憶がぼやける,-,きおくがぼやける,kí ức mờ nhạt
6619,影響を受ける,THỤ (受),えいきょうをうける,chịu ảnh hưởng
6621,趣味と実益を兼ねる,KIÊM (兼),しゅみとじつえきをかねる,kết hợp thú vui và lợi nhuận
6622,渋滞を避ける,TỊ (避),じゅうたいをさける,tránh kẹt xe
6623,春を告げる,CÁO (告),はるをつげる,báo hiệu mùa xuân
6624,思いを遂げる,TOẠI (遂),おもいをとげる,đạt được mong muốn
6625,思いを述べる,THUẬT (述),おもいをのべる,"giãi bày tâm sự, thổ lộ tâm tình"
6626,年月を隔てる,CÁCH (隔),ねんげつをへだてる,cách biệt năm tháng
6627,不安を和らげる,HÒA (和),ふあんをやわらげる,làm dịu sự lo lắng
6628,市長に宛てる,UYỂN (宛),しちょうにあてる,gửi tới thị trưởng
6629,二つに裂ける,LIỆT (裂),ふたつにさける,rách làm hai
6630,人に化ける,HÓA (化),ひとにばける,hóa thành người
6631,力が果てる,QUẢ (果),ちからがはてる,xuống sức
6632,顔が老ける,LÃO (老),かおがふける,gương mặt già đi
6633,頭がぼける,-,あたまがぼける,trở lại thời kỳ như trẻ con; lẩm cẩm
6634,席を空ける,KHÔNG (空),せきをあける,chừa chỗ
6635,スローガンを掲げる,YẾT (掲),スローガンをかかげる,treo khẩu hiệu
6636,お金を賭ける,ĐỔ (賭),おかねをかける,đặt cược tiền
6637,命を捧げる,BỔNG (捧),いのちをささげる,cống hiến sinh mạng
6638,技を授ける,THỤ (授),わざをさずける,trang bị kĩ năng
6639,目を背ける,BỐI (背),めをそむける,đưa (mắt) ra chỗ khác
6640,髪を束ねる,THÚC (束),かみをたばねる,buộc tóc
6641,子を寝かせる,TẨM (寝),こをねかせる,cho con đi ngủ
6642,体を震わせる,CHẤN (震),からだをふるわせる,rung người
6643,場を設ける,THIẾT (設),ばをもうける,"trang bị chỗ, tạo cơ hội"
6644,車を避ける,TỊ (避),くるまをよける,tránh ô tô
6645,場が白ける,BẠCH (白),ばがしらける,bầu không khí nặng nề
6646,紙が透ける,THẤU (透),かみがすける,giấy trong suốt
6647,からかわれて拗ねる,-,からかわれてすねる,hờn dỗi vì bị cười cợt
6648,靴が脱げる,THOÁT (脱),くつがぬげる,tuột giầy
6649,ベッドに寝そべる,TẨM (寝),ベッドにねそべる,nằm ườn trên giường
6650,頭が禿げる,-,あたまがはげる,đầu hói
6651,切手が剥げる,BÁC (剥),きってがはげる,"lột tem, gỡ tem"
6652,街が開ける,KHAI (開),まちがひらける,"thành phố mở cửa, thị trấn rộng mở"
6653,かばんが破ける,PHÁ (破),かばんがやぶける,túi bị rách
6654,賞金をマンション購入に充てる,SUNG (充),しょうきんをマンションこうにゅうにあてる,dành tiền thưởng để mua căn hộ chung cư
6655,首を傾げる,KHUYNH (傾),くびをかしげる,nghiêng đầu
6656,音を奏でる,TẤU (奏),おとをかなでる,tạo ra âm thanh
6657,海外進出を企てる,XÍ (企),かいがいしんしゅつをくわだてる,gắng sức mở rộng ra nước ngoài
6658,バッグを提げる,ĐỀ (提),バッグをさげる,mang túi xách
6659,弱者を虐げる,NGƯỢC (虐),じゃくしゃをしいたげる,hiếp đáp kẻ yếu
