STT,漢字,音（漢越）,読み方,意味,,,
7401,案の定,ÁN ĐỊNH (案定),あんのじょう,y như ráng,,,
7402,一觋,NHẤT KIẾN,いっけん,"nhin một lần, nhin một chút, thoạt nhìn",,,
7403,大方,ĐẠI PHƯƠNG,おおかた,phần lớn,,,
7404,終日,CHUNG NHẬT,しゅうじつ,suốt cả ngày,,,
7405,到底,ĐÁO ĐỂ,とうてい,làm thế nào (~ cũng không),,,
7406,突如,ĐỘT NHƯ,とつじょ,đột nhiên,,,
7407,目下,MỤC HẠ,もっか,hiện tại,,,
7408,依然,Y NHIÊN,いぜん,"vẫn chưa, vẫn còn",,,
7409,一切,NHẤT THIẾT,いっさい,hoàn toàn (~ không),,,
7410,終始,CHUNG THỦY,しゅうし,suốt từ đầu đến cuối,,,
7411,断然,ĐOẠN NHIÊN,だんぜん,"tất nhiên, nhất định",,,
7412,適宜,THÍCH NGHI,てきぎ,thích nghi,,,
7413,日夜,NHẬT DẠ,にちや,ngày đêm,,,
7414,無論,VÔ LUẬN,むろん,"đương nhiên, không cần phải nói",,,
7415,一躍,NHẤT DƯỢC,いちやく,"bất ngờ nổi tiếng, một bước lên tiên",,,
7416,急遽,CẤP CỰ,きゅうきょ,"vội vàng, khẩn trương",,,
7417,極力,CỰC LỰC,きょくりょく,cật lực,,,
7418,至極,CHÍ CỰC,しごく,"vô cùng, hết sức",,,
7419,所詮,SỞ THUYÊN,しょせん,rốt cục,,,
7420,随時,TÙY THỜI,ずいじ,bất cờ lúc nào,,,
7421,漸次,TIỆM THỨ,ぜんじ,"dần dần, từng chút một",,,
7422,即刻,TỨC KHẮC,そっこく,"tức khắc, tức thì",,,
7423,断固,ĐOẠN CỐ,だんこ,"kiên định, quyết chí",,,
7424,逐一,TRỤC NHẤT,ちくいち,chi tiết từng cái một,,,
7425,当分,ĐƯƠNG PHÂN,とうぶん,"ngay lúc này, một lát",,,
7426,別段,BIỆT ĐOẠN,べつだん,khác thường,,,
7427,別途,BIỆT ĐỒ,べっと,"riêng biệt, cách làm khác",,,
7428,延々,DIÊN DIÊN,えんえん,"không ngừng, liên tu bất tận",,,
7429,重々,TRỌNG TRỌNG,じゅうじゅう,"đầy đủ, (biết) rõ, lặp đi lặp lại",,,
7430,多々,ĐA ĐA,たた,nhiều,,,
7431,いそいそ,-,いそいそ,"hớn hở, hân hoan",,,
7432,おどおど,-,おどおど,"e thẹn, lúng túng",,,
7433,きょろきょろ,-,きょろきょろ,dáo dác nhìn quanh,,,
7434,ぎりぎり,-,ぎりぎり,"vừa sát nút, vừa đủ",,,
7435,ぐずぐず,-,ぐずぐず,"nhây, câu giờ, càu nhàu, (mũi) sụt sịt",,,
7436,ぐらぐら,-,ぐらぐら,"chao đảo, chòng chành, rung lắc",,,
7437,くるくる,-,くるくる,xoay tít,,,
7438,ぐるぐる,-,ぐるぐる,"xoay mòng mòng, xoay quanh",,,
7439,ぐんぐん,-,ぐんぐん,nhanh chóng,,,
7440,こそこそ,-,こそこそ,"len lén, vụng trộm",,,
7441,こつこつ,-,こつこつ,"tích cóp, dành dụm, chậm mà chắc, lộc cộc",,,
7442,ごろごろ,-,ごろごろ,lăn lông lốc,,,
7443,ざあざあ,-,ざあざあ,rào rào,,,
7444,さらさら,-,さらさら,"(vẽ, viết) trơn tru, một lèo, suôn mượt",,,
7445,ざわざわ,-,ざわざわ,"ồn ào, náo nhiệt",,,
7446,しとしと,-,しとしと,(mưa) lất phất,,,
7447,じゃんじゃん,-,じゃんじゃん,"(tiếng chuông) ngân dài, (uống) ừng ực, (bán) liên tục",,,
7448,じろじろ,-,じろじろ,"nhìn chăm chú, nhìn chằm chằm",,,
7449,すいすい,-,すいすい,"thuận lợi, cử động nhẹ nhàng",,,
7450,すくすく,-,すくすく,(trưởng thành) thuận lợi không trở ngại,,,
7451,ずけずけ,-,ずけずけ,(nói) không do dự,,,
7452,ずるずる,-,ずるずる,"kéo lê, kéo dài",,,
7453,ぞろぞろ,-,ぞろぞろ,tuôn ra,,,
7454,だらだら,-,だらだら,"uể oải, chậm chạp, lê thê, dài dòng",,,
7455,ちらちら,-,ちらちら,chốc chốc lại nhìn,,,
7456,つるつる,-,つるつる,"trơn trượt, trơn láng",,,
7457,てくてく,-,てくてく,rảo bước,,,
7458,どしどし,-,どしどし,một cách tích cực,,,
7459,とぼとぼ,-,とぼとぼ,thất thểu,,,
7460,どろどろ,-,どろどろ,lấm lem bùn lầy,,,
7461,にやにや,-,にやにや,tủm tỉm,,,
7462,ねちねち,-,ねちねち,lằng nhằng,,,
7463,のこのこ,-,のこのこ,thản nhiên,,,
7464,のそのそ,-,のそのそ,"chậm rãi, uể oải",,,
7465,のびのび,-,のびのび,tự do (không bị cấm đoán),,,
7466,ばたばた,-,ばたばた,bận tối mày tối mặt,,,
7467,びくびく,-,びくびく,khiếp sợ,,,
7468,ひしひし,-,ひしひし,đang đến gần,,,
7469,ひそひそ,-,ひそひそ,"thỏ thẻ, thủ thỉ",,,
7470,ひらひら,-,ひらひら,bay phấp phới,,,
7471,ふらふら,-,ふらふら,"hoa mắt, choáng váng",,,
7472,ぶらぶら,-,ぶらぶら,"lang thang, thơ thẩn",,,
7473,ぶるぶる,-,ぶるぶる,"(run) lập cập (vì sợ, tức giận, sốt, lạnh)"
7474,ぺこぺこ,-,ぺこぺこ,"liên tục, đói meo",,,
7475,ぼつぼつ,-,ぼつぼつ,đã đến lúc,,,
7476,めきめき,-,めきめき,"tiến xa, vùn vụt",,,
7477,もたもた,-,もたもた,"chầm chậm, không nhanh được",,,
